record_id,metric_name,score,status
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9__M12,Coherence (Azure),2.0,ok
cnn-test-404f859482d47c127868964a9a39d1a7645dd2e9__M13,Coherence (Azure),2.0,ok
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1__M11,Coherence (Azure),2.0,ok
cnn-test-4761dc6d8bdf56b9ada97104113dd1bcf4aed3f1__M9,Coherence (Azure),3.0,ok
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975__M1,Coherence (Azure),3.0,ok
cnn-test-5139ccfabee55ddb83e7937f5802c0a67aee8975__M17,Coherence (Azure),3.0,ok
cnn-test-88c2481234e763c9bbc68d0ab1be1d2375c1349a__M22,Coherence (Azure),4.0,ok
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf__M2,Coherence (Azure),3.0,ok
cnn-test-b1c3fc03a2b74cf4c79844c1fe2fdce70a8a436e__M0,Coherence (Azure),3.0,ok
cnn-test-b8b6e729fff27c4eef87887e61d3448de9c063f6__M10,Coherence (Azure),1.0,ok
cnn-test-bcdb32ae644040a721da880fff9c1d502048cd8b__M15,Coherence (Azure),3.0,ok
cnn-test-c05bda9b387ec8ae43803170b6f59b4b82505db9__M20,Coherence (Azure),2.0,ok
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563__M1,Coherence (Azure),3.0,ok
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563__M12,Coherence (Azure),2.0,ok
cnn-test-d75b043ebefc3098aea84d92bb8bec0f509b1563__M22,Coherence (Azure),3.0,ok
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31__M0,Coherence (Azure),3.0,ok
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31__M15,Coherence (Azure),1.0,ok
cnn-test-e2bccd4dec93c9bb7b327827dae004c2d494ec31__M22,Coherence (Azure),3.0,ok
cnn-test-e49792c337d3f4c13e22f710efa44cf6a4e59aba__M11,Coherence (Azure),2.0,ok
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M12,Coherence (Azure),2.0,ok
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M13,Coherence (Azure),2.0,ok
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M14,Coherence (Azure),2.0,ok
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M22,Coherence (Azure),3.0,ok
cnn-test-fbbafa743a8c2ecd2cedf65c6c61956b2db8ec5c__M5,Coherence (Azure),2.0,ok
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac__M17,Coherence (Azure),3.0,ok
dm-test-02c955067d00f38b6978b805d5a8701a787f78ac__M23,Coherence (Azure),3.0,ok
dm-test-03e271b4305517e02c9ead82d57327d32b99102e__M0,Coherence (Azure),2.0,ok
dm-test-03e271b4305517e02c9ead82d57327d32b99102e__M15,Coherence (Azure),3.0,ok
dm-test-03e271b4305517e02c9ead82d57327d32b99102e__M17,Coherence (Azure),3.0,ok
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1__M1,Coherence (Azure),3.0,ok
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1__M2,Coherence (Azure),4.0,ok
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1__M20,Coherence (Azure),2.0,ok
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1__M8,Coherence (Azure),3.0,ok
dm-test-096e418a953af86df0d1560bec95bc7bfee2e34b__M0,Coherence (Azure),2.0,ok
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db__M13,Coherence (Azure),2.0,ok
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db__M14,Coherence (Azure),2.0,ok
dm-test-0cd10ad50ceef529d96a255ed12ac9cd001ba9db__M5,Coherence (Azure),2.0,ok
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b__M0,Coherence (Azure),3.0,ok
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b__M17,Coherence (Azure),4.0,ok
dm-test-0cdd7cdb5d99c36f25f1f4fa0e962d558f7ff07b__M20,Coherence (Azure),2.0,ok
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7__M0,Coherence (Azure),3.0,ok
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7__M13,Coherence (Azure),2.0,ok
dm-test-0f0789390d67698283cc87b2e046b5c5cd77edb7__M14,Coherence (Azure),3.0,ok
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce__M12,Coherence (Azure),3.0,ok
dm-test-130ff8f2dfb6ab67861d5924b0ff5acd63c7d8ce__M9,Coherence (Azure),3.0,ok
dm-test-14c813567696f4e63a39993c09d4edb454036179__M14,Coherence (Azure),2.0,ok
dm-test-14c813567696f4e63a39993c09d4edb454036179__M8,Coherence (Azure),3.0,ok
dm-test-155754e1f2bc83f6836af78703edd4d00f19f381__M23,Coherence (Azure),3.0,ok
