record_id,article_id,query,response,model_id,story_path,coherence_gold,consistency_gold
dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28__M10,dm-test-7cba80e83b222801fed8d6f96e8c0aa381c54b28,Summarize the article.,anders lindegaard tied the swedish model last year in a romantic beach wedding . the manchester united goalkeeper has made just 19 league appearances . lindegaard and beqiri have been dating since 2012 .,M10,dailymail/stories/7cba80e83b222801fed8d6f96e8c0aa381c54b28.story,3.0,5.0
dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21__M1,dm-test-2c6695b438980783754f7db28129ec2fbb3e6e21,Summarize the article.,"kevin rebbie , 56 , of limerick township , pennsylvania , was arrested after a 15-year-old girl found a hidden camera in her bathroom that police were able to trace back to the man . the investigation began when a 15-year-old girl found a hidden camera under the sink in a bathroom in her limerick township home in march , according to prosecutors . she told investigators that rebbie had been watching her for years when she was undressing and when he believed she was asleep .",M1,dailymail/stories/2c6695b438980783754f7db28129ec2fbb3e6e21.story,3.667,5.0
dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1__M20,dm-test-0783c68a744df6afa009d16e72709f2b4d90dea1,Summarize the article.,Jamaican sprinter Usain Bolt has confirmed he will be part of the Jamaican team at the IAAF/BTC World Relays in the Bahamas.,M20,dailymail/stories/0783c68a744df6afa009d16e72709f2b4d90dea1.story,4.667,5.0
dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc__M17,dm-test-2c37d44d03ce2e91310339d884d33ee5aabf9abc,Summarize the article.,"the toddler's mother was holding him and another child when he slipped and fell between 10 to 12ft and into the pit on saturday around 3pm . the child was rescued by his parents before firefighters and paramedics arrived on the scene . he suffered from minor bumps and bruises and was listed in stable condition at the hospital . the cheetahs did not approach the boy or his parents while in the pit, according to zoo officials .",M17,dailymail/stories/2c37d44d03ce2e91310339d884d33ee5aabf9abc.story,4.333,5.0
dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439__M23,dm-test-36352fd1c61fd0c593ee7b84cbe213aa9b444439,Summarize the article.,"vanessa santillan's body was found in a £400,000 flat in fulham, london . the 33-year-old mexican national died as a result of injuries to the head and neck . a 23-year-old man was arrested in connection with her death but has been bailed . he has been told to return to a london police station for further questioning .",M23,dailymail/stories/36352fd1c61fd0c593ee7b84cbe213aa9b444439.story,5.0,5.0
dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0__M20,dm-test-632cfdb03aacd90a34a470f6a70b47eee62ec5f0,Summarize the article.,Gnabry has not featured for the first team since March last year after suffering serious knee injury,M20,dailymail/stories/632cfdb03aacd90a34a470f6a70b47eee62ec5f0.story,4.333,5.0
dm-test-26e4e19d945cedcb489f28808c730658139c9415__M12,dm-test-26e4e19d945cedcb489f28808c730658139c9415,Summarize the article.,orlando city are the latest club to have expressed interest in manchester united misfit javier hernandez . the mexico international would be a huge commercial draw for the florida-based franchise who are coached by former everton and manchester city striker adrian heath . orlando have a big latin-american fanbase and made enquiries last week about the prospect of a deal .,M12,dailymail/stories/26e4e19d945cedcb489f28808c730658139c9415.story,3.667,5.0
dm-test-4fb64a2298e18626db776fccf834be87388827e0__M8,dm-test-4fb64a2298e18626db776fccf834be87388827e0,Summarize the article.,sir bradley wiggins will bid for cycling 's hour record on june 7 at london 's olympic velodrome . the four-time olympic champion and 2012 tour de france winner will attempt to add to his accomplishments by riding the furthest distance in 60 minutes at the lee valley velopark . wiggins finished his team sky career in the paris-roubaix 253.5km one-day race on sunday .,M8,dailymail/stories/4fb64a2298e18626db776fccf834be87388827e0.story,2.667,5.0
dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df__M10,dm-test-b5925c1a02fa9a8f6b1d5ad764c19a732deac0df,Summarize the article.,"new zealander tim weston was on holiday in puerto vallarta with his wife when the attack happened and described how ` the crocodile kept the dog in its mouth for ages , not moving at all ' the clip shows a large croc calmly moving through the marina in the tourist hotspot of puerto vallarta , in mexico , with a black dog wearing a red collar . the dog has been viewed more than half a million times online . the dog belonged to the bike shop 's owner .",M10,dailymail/stories/b5925c1a02fa9a8f6b1d5ad764c19a732deac0df.story,3.333,5.0
cnn-test-a02e362c5b8f049848ce718b37b96117485461cf__M2,cnn-test-a02e362c5b8f049848ce718b37b96117485461cf,Summarize the article.,"the deep reddish color caught seattle native tim durkan 's eye . the stunning sunsets were the result of raging wildfires in parts of siberia . the fires were started in southeastern siberia , by farmers burning grass in their fields .",M2,cnn/stories/a02e362c5b8f049848ce718b37b96117485461cf.story,4.0,5.0
